id,latitude,longitude,name,type,color,url
52,24.3067053,120.5838127,台中市垃圾焚化爐,固定汙染源,ff0000,
53,23.8257949,120.458926,彰化縣溪州焚化爐,固定汙染源,ff0000,
54,23.4764535,120.4140324,嘉義市焚化爐,固定汙染源,ff0000,
55,23.0400452,120.2802999,台南縣永康焚化爐,固定汙染源,ff0000,
56,23.046176,120.072791,台南市城西焚化爐,固定汙染源,ff0000,
57,22.611007,120.2981516,高雄縣仁武焚化爐,固定汙染源,ff0000,
58,22.6658549,120.3290659,高雄市中區焚化爐,固定汙染源,ff0000,
59,22.5527951,120.3742443,高雄市南區焚化爐,固定汙染源,ff0000,
60,22.810227,120.2673068,高雄縣岡山焚化爐,固定汙染源,ff0000,
61,24.9924648,121.250393,桃園縣焚化爐,固定汙染源,ff0000,
62,22.4998042,120.495648,屏東縣崁頂焚化廠,固定汙染源,ff0000,
63,25.1199794,121.4923425,台北市北投垃圾焚化廠,固定汙染源,ff0000,
64,25.0629791,121.6033233,台北市內湖焚化廠,固定汙染源,ff0000,
65,25.1248018,121.3645025,台北縣八里焚化爐,固定汙染源,ff0000,
66,25.0468678,121.3622051,台北縣樹林焚化爐,固定汙染源,ff0000,
67,25.047146,121.3618615,台北縣新店焚化爐,固定汙染源,ff0000,
68,24.0984296,120.6180359,台中縣烏日焚化爐,固定汙染源,ff0000,
69,24.6599538,121.833171,宜蘭縣利澤焚化爐,固定汙染源,ff0000,
70,24.9984383,121.5602644,台北市木柵焚化爐,固定汙染源,ff0000,
71,25.1226886,121.7744794,基隆市焚化爐,固定汙染源,ff0000,
72,25.1486568,121.6968193,大武崙工業區,固定汙染源,ff0000,
73,25.0976469,121.7799156,瑞芳工業區,固定汙染源,ff0000,
74,25.0781921,121.4299321,新北產業園區,固定汙染源,ff0000,
75,25.0805868,121.3908632,新北市林口工二工業區,固定汙染源,ff0000,
76,25.021013,121.3084531,工三工業區,固定汙染源,ff0000,
77,24.9998935,121.412933,樹林區工業區,固定汙染源,ff0000,
78,24.9577707,121.4049042,頂埔科技園區,固定汙染源,ff0000,
79,24.9615477,121.4170913,土城工業區,固定汙染源,ff0000,
80,24.9837078,121.3200563,龜山工業區,固定汙染源,ff0000,
81,24.9787794,121.2372425,中壢工業區,固定汙染源,ff0000,
82,24.9239874,121.1701146,桃園幼獅工業區,固定汙染源,ff0000,
83,24.8994368,121.2021395,平鎮工業區,固定汙染源,ff0000,
84,24.8842878,121.1761012,龍潭科學園區服務處 ,固定汙染源,ff0000,
85,25.0472336,121.0840025,桃園科技園區,固定汙染源,ff0000,
86,25.0316173,121.0622263,大潭工業區,固定汙染源,ff0000,
87,25.0355301,121.0627571,桃園環保科技園區,固定汙染源,ff0000,
88,25.071746,121.196094,大園工業區,固定汙染源,ff0000,
89,24.781651,121.0037267,新竹科學園區,固定汙染源,ff0000,
90,24.871472,121.0069788,新竹工業區,固定汙染源,ff0000,
91,24.8031879,121.0151748,新竹生物醫學園區,固定汙染源,ff0000,
92,24.7093933,120.9134173,新竹科學園區-竹南園區,固定汙染源,ff0000,
93,24.7092408,120.8705762,竹南工業區,固定汙染源,ff0000,
94,24.6813768,120.8802272,頭份工業區,固定汙染源,ff0000,
95,24.4826499,120.7844013,銅鑼工業區,固定汙染源,ff0000,
96,24.4678582,120.7595538,新竹科學園區-銅鑼園區,固定汙染源,ff0000,
97,24.4050619,120.6499023,大甲幼獅工業區,固定汙染源,ff0000,
98,24.3014489,120.7157985,后里園區-七星基地,固定汙染源,ff0000,
99,24.3043113,120.7176013,后里園區,固定汙染源,ff0000,
100,24.2184333,120.7025602,潭子加工出口區台中分處,固定汙染源,ff0000,
101,24.2411306,120.5346506,中港加工出口區,固定汙染源,ff0000,
102,24.168612,120.605985,台中工業區,固定汙染源,ff0000,
103,24.095152,120.7119615,大里工業區,固定汙染源,ff0000,
104,24.1649079,120.5006698,全興工業區,固定汙染源,ff0000,
105,24.0787929,120.411743,彰濱工業區,固定汙染源,ff0000,
106,24.0119278,120.48479,福興工業區,固定汙染源,ff0000,
107,23.9140141,120.3449065,芳苑工業區,固定汙染源,ff0000,
108,23.879676,120.45686,埤頭工業區,固定汙染源,ff0000,
109,23.8468682,120.5644799,田中工業區,固定汙染源,ff0000,
110,23.926942,120.666912,南崗工業區,固定汙染源,ff0000,
111,23.7654698,120.6964443,竹山工業區,固定汙染源,ff0000,
112,23.9371249,120.693019,高等研究園區,固定汙染源,ff0000,
113,23.7724025,120.2588413,離島工業區,固定汙染源,ff0000,
